linha,coluna,valor,motivo
126,vencimento,C/APRES,Data inválida — ignorada
126,data_emissao_recebimento,,Data inválida — ignorada
127,vencimento,C/APRES,Data inválida — ignorada
127,data_emissao_recebimento,,Data inválida — ignorada
128,vencimento,C/APRES,Data inválida — ignorada
128,data_emissao_recebimento,,Data inválida — ignorada
129,vencimento,C/APRES,Data inválida — ignorada
129,data_emissao_recebimento,,Data inválida — ignorada
130,vencimento,C/APRES,Data inválida — ignorada
130,data_emissao_recebimento,,Data inválida — ignorada
131,vencimento,C/APRES,Data inválida — ignorada
131,data_emissao_recebimento,,Data inválida — ignorada
132,vencimento,C/APRES,Data inválida — ignorada
132,data_emissao_recebimento,,Data inválida — ignorada
133,vencimento,C/APRES,Data inválida — ignorada
133,data_emissao_recebimento,,Data inválida — ignorada
134,vencimento,C/APRES,Data inválida — ignorada
134,data_emissao_recebimento,,Data inválida — ignorada
135,vencimento,C/APRES,Data inválida — ignorada
135,data_emissao_recebimento,,Data inválida — ignorada
136,vencimento,C/APRES,Data inválida — ignorada
136,data_emissao_recebimento,,Data inválida — ignorada
137,vencimento,C/APRES,Data inválida — ignorada
137,data_emissao_recebimento,,Data inválida — ignorada
138,vencimento,C/APRES,Data inválida — ignorada
138,data_emissao_recebimento,,Data inválida — ignorada
139,vencimento,C/APRES,Data inválida — ignorada
139,data_emissao_recebimento,,Data inválida — ignorada
140,vencimento,C/APRES,Data inválida — ignorada
140,data_emissao_recebimento,,Data inválida — ignorada
141,vencimento,C/APRES,Data inválida — ignorada
141,data_emissao_recebimento,,Data inválida — ignorada
142,vencimento,C/APRES,Data inválida — ignorada
142,data_emissao_recebimento,,Data inválida — ignorada
143,vencimento,C/APRES,Data inválida — ignorada
143,data_emissao_recebimento,,Data inválida — ignorada
144,vencimento,C/APRES,Data inválida — ignorada
144,data_emissao_recebimento,,Data inválida — ignorada
145,vencimento,C/APRES,Data inválida — ignorada
145,data_emissao_recebimento,,Data inválida — ignorada
146,vencimento,C/APRES,Data inválida — ignorada
146,data_emissao_recebimento,,Data inválida — ignorada
147,vencimento,C/APRES,Data inválida — ignorada
147,data_emissao_recebimento,,Data inválida — ignorada
148,data_emissao_recebimento,,Data inválida — ignorada
149,data_emissao_recebimento,,Data inválida — ignorada
150,data_emissao_recebimento,,Data inválida — ignorada
151,vencimento,Bonificado,Data inválida — ignorada
151,data_emissao_recebimento,,Data inválida — ignorada
152,data_emissao_recebimento,,Data inválida — ignorada
153,data_emissao_recebimento,,Data inválida — ignorada
154,data_emissao_recebimento,,Data inválida — ignorada
155,data_emissao_recebimento,,Data inválida — ignorada
156,data_emissao_recebimento,,Data inválida — ignorada
157,data_emissao_recebimento,,Data inválida — ignorada
158,data_emissao_recebimento,,Data inválida — ignorada
159,data_emissao_recebimento,,Data inválida — ignorada
160,data_emissao_recebimento,,Data inválida — ignorada
161,data_emissao_recebimento,,Data inválida — ignorada
162,data_emissao_recebimento,,Data inválida — ignorada
163,vencimento,Bonificado,Data inválida — ignorada
163,data_emissao_recebimento,,Data inválida — ignorada
164,data_emissao_recebimento,,Data inválida — ignorada
165,data_emissao_recebimento,,Data inválida — ignorada
166,data_emissao_recebimento,,Data inválida — ignorada
167,data_emissao_recebimento,,Data inválida — ignorada
168,data_emissao_recebimento,,Data inválida — ignorada
169,data_emissao_recebimento,,Data inválida — ignorada
170,data_emissao_recebimento,,Data inválida — ignorada
171,data_emissao_recebimento,,Data inválida — ignorada
172,data_emissao_recebimento,,Data inválida — ignorada
173,data_emissao_recebimento,,Data inválida — ignorada
174,data_emissao_recebimento,,Data inválida — ignorada
175,data_emissao_recebimento,,Data inválida — ignorada
176,data_emissao_recebimento,,Data inválida — ignorada
177,data_emissao_recebimento,,Data inválida — ignorada
178,data_emissao_recebimento,,Data inválida — ignorada
179,vencimento,C/APRES,Data inválida — ignorada
179,data_emissao_recebimento,,Data inválida — ignorada
180,vencimento,15DFM,Data inválida — ignorada
180,data_emissao_recebimento,,Data inválida — ignorada
181,data_emissao_recebimento,,Data inválida — ignorada
182,data_emissao_recebimento,,Data inválida — ignorada
183,data_emissao_recebimento,,Data inválida — ignorada
184,data_emissao_recebimento,,Data inválida — ignorada
185,data_emissao_recebimento,,Data inválida — ignorada
186,vencimento,Bonificado,Data inválida — ignorada
186,data_emissao_recebimento,,Data inválida — ignorada
187,data_emissao_recebimento,,Data inválida — ignorada
188,data_emissao_recebimento,,Data inválida — ignorada
189,vencimento,Bonificado,Data inválida — ignorada
189,data_emissao_recebimento,,Data inválida — ignorada
190,vencimento,Bonificado,Data inválida — ignorada
190,data_emissao_recebimento,,Data inválida — ignorada
191,data_emissao_recebimento,,Data inválida — ignorada
192,data_emissao_recebimento,,Data inválida — ignorada
193,data_emissao_recebimento,,Data inválida — ignorada
194,vencimento,Bonificado,Data inválida — ignorada
194,data_emissao_recebimento,,Data inválida — ignorada
195,data_emissao_recebimento,,Data inválida — ignorada
196,data_emissao_recebimento,,Data inválida — ignorada
197,data_emissao_recebimento,,Data inválida — ignorada
198,data_emissao_recebimento,,Data inválida — ignorada
199,data_emissao_recebimento,,Data inválida — ignorada
200,data_emissao_recebimento,,Data inválida — ignorada
201,data_emissao_recebimento,,Data inválida — ignorada
202,data_emissao_recebimento,,Data inválida — ignorada
203,data_emissao_recebimento,,Data inválida — ignorada
204,data_emissao_recebimento,,Data inválida — ignorada
205,data_emissao_recebimento,,Data inválida — ignorada
206,data_emissao_recebimento,,Data inválida — ignorada
207,data_emissao_recebimento,,Data inválida — ignorada
208,data_emissao_recebimento,,Data inválida — ignorada
209,data_emissao_recebimento,,Data inválida — ignorada
210,data_emissao_recebimento,,Data inválida — ignorada
211,data_emissao_recebimento,,Data inválida — ignorada
212,data_emissao_recebimento,,Data inválida — ignorada
213,data_emissao_recebimento,,Data inválida — ignorada
214,data_emissao_recebimento,,Data inválida — ignorada
215,data_emissao_recebimento,,Data inválida — ignorada
216,data_emissao_recebimento,,Data inválida — ignorada
217,data_emissao_recebimento,,Data inválida — ignorada
218,data_emissao_recebimento,,Data inválida — ignorada
219,vencimento,Bonificado,Data inválida — ignorada
219,data_emissao_recebimento,,Data inválida — ignorada
220,data_emissao_recebimento,,Data inválida — ignorada
221,vencimento,90 DFM,Data inválida — ignorada
